Pais;Llamados a la acción;Sanciones;Insultos;Fecha pico;Total impacto de publicaciones;Total Impresiones (veces que se vieron estos mensajes);Xenofobia;% Llamados a la acción;% Sanciones Judiciales;% Insultos
Colombia;1;3;64;22-ene-24;653.7;163030;65;2%;5%;98%
Colombia;13;1;70;23-ene-24;384.4;58821;75;17%;1%;93%
Colombia;2;1;25;24-ene-24;184.3;25853;26;8%;4%;96%
Peru;2;11;48;10-ene-24;508.4;37555;50;4%;22%;96%
Peru;9;11;70;8-ene-24;434.6;68429;82;11%;13%;85%
Peru;17;20;92;9-ene-24;586.2;160397;114;15%;18%;81%
Ecuador;37;559;185;10-ene-24;1260.6;517188;728;5%;77%;25%
Ecuador;18;9;76;11-ene-24;231.1;52443;76;24%;12%;100%
Ecuador;2;10;68;12-ene-24;217.3;58551;70;3%;14%;97%
Ecuador;2;1;179;13-ene-24;317.2;139176;180;1%;1%;99%
Ecuador;0;4;32;14-ene-24;145.6;21946;36;0%;11%;89%
Ecuador;2;2;20;15-ene-24;102.7;41612;20;10%;10%;100%
Ecuador;4;13;54;8-ene-24;179.5;53162;57;7%;23%;95%
Ecuador;28;24;122;9-ene-24;197.4;82717;128;22%;19%;95%
