Pais,Llamados a la acción,Sanciones,Insultos,Fecha pico,Total impacto de publicaciones,Total Impresiones (veces que se vieron estos mensajes),Xenofobia,% Llamados a la acción,% Sanciones Judiciales,% Insultos
Colombia,17,66,347,Dic-25,1917.2,890294,351,5%,19%,99%
Colombia,55,322,809,Dic-26,3973.1,1067706,814,7%,40%,99%
Colombia,32,48,170,Dic-27,652.1,204574,178,18%,27%,96%
Colombia,39,0,322,Nov-4,1854.0,580362,339,12%,0%,95%
Colombia,13,4,171,Nov-5,650.5,185293,180,7%,2%,95%
Colombia,3,0,94,Nov-6,646.8,93951,96,3%,0%,98%
Colombia,81,103,427,Sep-22,4677.9,1254370,595,14%,17%,72%
Colombia,24,91,419,Sep-23,2544.8,2556979,509,5%,18%,82%
Colombia,5,0,115,Sep-24,780.6,2866408,118,4%,0%,97%
Peru,0,6,19,Ago-14,51.4,9231,19,0%,32%,100%
Peru,1,6,22,Ago-15,242.1,98276,22,5%,27%,100%
Peru,1,0,8,Ago-16,34.7,3741,8,12%,0%,100%
Peru,0,12,26,Nov-20,63.6,25934,38,0%,32%,68%
Peru,0,1,41,Nov-21,384.5,82065,42,0%,2%,98%
Peru,0,3,8,Oct-30,0.0,1628,8,0%,38%,100%
Peru,0,1,3,Oct-31,22.8,517,3,0%,33%,100%
Ecuador,19,49,306,Dic-25,766.9,525490,339,6%,14%,90%
Ecuador,28,255,262,Dic-26,956.6,372245,521,5%,49%,50%
Ecuador,64,60,365,Dic-27,516.0,280723,474,14%,13%,77%
Ecuador,25,2,94,Dic-28,352.4,122901,103,24%,2%,91%
Ecuador,4,2,117,Dic-29,322.3,104277,122,3%,2%,96%
Ecuador,0,0,14,Dic-30,2.3,5667,14,0%,0%,100%
Ecuador,153,0,279,Nov-1,789.6,363300,392,39%,0%,71%
Ecuador,54,138,588,Nov-2,1693.2,806201,605,9%,23%,97%
Ecuador,83,164,338,Nov-3,697.2,464812,338,25%,49%,100%
Ecuador,40,21,155,Nov-4,453.1,261804,155,26%,14%,100%
Ecuador,11,32,239,Nov-5,633.4,204325,240,5%,13%,100%
Ecuador,0,1,28,Nov-6,3.9,14152,28,0%,4%,100%
Ecuador,3,0,69,Oct-30,63.8,64754,71,4%,0%,97%
Ecuador,7,0,30,Oct-31,178.1,58818,34,21%,0%,88%
